drugbank_id,disease_id
DB00978,C0026896
DB16747,C0022972
DB01060,C0026896
DB00087,C0026896
DB00087,C0751339
DB00087,C0751340
DB00083,C0026896
DB12332,C0265219
DB11771,C0022972
DB06210,C0265219
DB15043,C0026896
DB15043,C0751339
DB15043,C0751340
DB01137,C0026896
DB01576,C0040517
DB04572,C0030442
DB04572,C4082299
DB15627,C0022972
DB14707,C0022972
DB01577,C0040517
DB00005,C0270627
DB00005,C0751343
DB00005,C0026976
DB00795,C0265219
DB09570,C0270627
DB09570,C0751343
DB09570,C0026976
DB09269,C0235946
DB16746,C0265219
DB00989,C0030567
DB00480,C0265219
DB11771,C0026896
DB11771,C0751339
DB11771,C0751340
DB15770,C0022972
DB06823,C0026896
DB06823,C0751339
DB06823,C0751340
DB11793,C0265219
DB00207,C0026896
DB01248,C0265219
DB15770,C0026896
DB15770,C0751339
DB15770,C0751340
DB11760,C0265219
DB15266,C0027831
DB15266,C0553586
DB15266,C0162678
DB00720,C0265219
DB00065,C0270627
DB00065,C0751343
DB00065,C0026976
DB01008,C0026896
DB01008,C0751339
DB01008,C0751340
DB15043,C0022972
DB01098,C0026896
DB01098,C0751339
DB01098,C0751340
DB06702,C0026896
DB00859,C0026896
DB00859,C0751339
DB00859,C0751340
DB00083,C0751339
DB00083,C0751340
DB01041,C0030567
DB00537,C0026896
DB01331,C0026896
DB04871,C0265219
DB00099,C0265219
DB01211,C0026896
DB15001,C0265219
DB00804,C0026896
DB00804,C0751339
DB00804,C0751340
DB09156,C0026896
DB06701,C0040517
DB01165,C0026896
DB01165,C0751339
DB01165,C0751340
DB00244,C0270627
DB00244,C0751343
DB00244,C0026976
DB01059,C0026896
DB16611,C0270627
DB16611,C0751343
DB16611,C0026976
DB16747,C0026896
DB16747,C0751339
DB16747,C0751340
DB00853,C0265219
DB11945,C0022972
DB00019,C0265219
DB00373,C0026896
DB00641,C0026896
DB00641,C0751339
DB00641,C0751340
DB15766,C0026896
DB15766,C0751339
DB15766,C0751340
DB00976,C0026896
DB00242,C0265219
DB00087,C0022972
DB00363,C0022972
DB00531,C0265219
DB14707,C0026896
DB14707,C0751339
DB14707,C0751340
DB11627,C0270627
DB11627,C0751343
DB11627,C0026976
DB00218,C0026896
DB00218,C0751339
DB00218,C0751340
DB00795,C0270627
DB00795,C0751343
DB00795,C0026976
DB06824,C0026896
DB06824,C0751339
DB06824,C0751340
DB15627,C0026896
DB15627,C0751339
DB15627,C0751340
DB14851,C0022972
DB11945,C0026896
DB11945,C0751339
DB11945,C0751340
DB00618,C0022972
DB13985,C0265219
DB01076,C0026896
DB01076,C0751339
DB01076,C0751340
DB01062,C0026896
DB01181,C0265219
DB00095,C0270627
DB00095,C0751343
DB00095,C0026976
DB09074,C0265219
DB00182,C0040517
DB15965,C0270627
DB15965,C0751343
DB15965,C0026976
