drugbank_id,disease_id
DB16619,C0026896
DB16619,C0751339
DB16619,C0751340
DB15578,C0026896
DB15578,C0751339
DB15578,C0751340
DB00683,C0026896
DB00683,C0751339
DB00683,C0751340
DB00572,C0026896
DB00572,C0751339
DB00572,C0751340
DB13354,C0026896
DB13354,C0751339
DB13354,C0751340
DB12265,C0009207
DB13437,C0026896
DB13437,C0751339
DB13437,C0751340
DB14028,C0026896
DB14028,C0751339
DB14028,C0751340
DB06174,C0026896
DB06174,C0751339
DB06174,C0751340
DB00402,C0026896
DB00402,C0751339
DB00402,C0751340
DB00468,C0026896
DB00468,C0751339
DB00468,C0751340
DB01426,C0026896
DB01426,C0751339
DB01426,C0751340
DB01559,C0026896
DB01559,C0751339
DB01559,C0751340
DB09017,C0026896
DB09017,C0751339
DB09017,C0751340
DB01544,C0026896
DB01544,C0751339
DB01544,C0751340
DB13335,C0026896
DB13335,C0751339
DB13335,C0751340
DB01588,C0026896
DB01588,C0751339
DB01588,C0751340
DB01233,C0030567
DB00599,C2931689
DB00599,C0027126
DB01511,C0026896
DB01511,C0751339
DB01511,C0751340
DB01625,C0026896
DB01625,C0751339
DB01625,C0751340
DB00911,C0009207
DB09167,C0026896
DB09167,C0751339
DB09167,C0751340
DB15489,C0026896
DB15489,C0751339
DB15489,C0751340
DB13511,C0030567
DB01068,C0026896
DB01068,C0751339
DB01068,C0751340
DB14513,C0026896
DB14513,C0751339
DB14513,C0751340
DB00804,C0026896
DB00804,C0751339
DB00804,C0751340
DB16000,C0026896
DB16000,C0751339
DB16000,C0751340
DB00986,C0026896
DB00986,C0751339
DB00986,C0751340
DB00462,C0026896
DB00462,C0751339
DB00462,C0751340
DB09300,C0026896
DB09300,C0751339
DB09300,C0751340
DB15998,C0026896
DB15998,C0751339
DB15998,C0751340
DB12401,C0030567
DB00422,C0040517
DB01558,C0026896
DB01558,C0751339
DB01558,C0751340
DB00976,C0026896
DB00976,C0751339
DB00976,C0751340
DB00842,C0026896
DB00842,C0751339
DB00842,C0751340
DB00916,C0009207
DB00829,C0026896
DB00829,C0751339
DB00829,C0751340
DB01173,C0026896
DB01173,C0751339
DB01173,C0751340
DB11989,C0009207
DB00502,C0030567
DB09262,C0026896
DB09262,C0751339
DB09262,C0751340
DB01595,C0026896
DB01595,C0751339
DB01595,C0751340
DB01622,C0030567
DB00747,C0026896
DB00747,C0751339
DB00747,C0751340
DB00921,C0026896
DB00921,C0751339
DB00921,C0751340
DB06623,C0026896
DB06623,C0751339
DB06623,C0751340
DB12834,C0009207
DB06264,C0026896
DB06264,C0751339
DB06264,C0751340
DB09069,C0030567
DB00908,C0026896
DB00908,C0751339
DB00908,C0751340
DB01594,C0026896
DB01594,C0751339
DB01594,C0751340
DB13620,C0027127
DB13620,C2936781
DB13620,C0751360
DB13620,C0270959
DB00782,C0026896
DB00782,C0751339
DB00782,C0751340
DB00424,C0026896
DB00424,C0751339
DB00424,C0751340
DB03793,C0026896
DB03793,C0751339
DB03793,C0751340
DB11560,C0023374
DB09166,C0026896
DB09166,C0751339
DB09166,C0751340
DB00541,C0751036
DB00541,C0007959
DB00541,C0027888
DB00541,C0270912
DB00541,C0205713
DB00541,C0270911
DB00541,C0270914
DB00541,C0019816
DB00541,C0011195
DB13872,C0026896
DB13872,C0751339
DB13872,C0751340
