drugbank_id,disease_id
DB00643,C0001752
DB10670,C0034531
DB04743,C0971858
DB04743,C0993582
DB09449,C0005866
DB01233,C0024025
DB01164,C0027983
DB00956,C0006845
DB00956,C0006848
DB00507,C0017455
DB00507,C2830242
DB00126,C1535939
DB00126,C0276908
DB00126,C0851886
DB01390,C0008582
DB15968,C5392221
DB15968,C0152066
DB16568,C4290049
DB16568,C0014061
DB16568,C0014054
DB16568,C0032858
DB16568,C0015632
DB16568,C0751103
DB16568,C0751104
DB00559,C0080040
DB00085,C0276028
DB00085,C0025292
DB00085,C0917807
DB00085,C0751307
DB01202,C0267760
DB01202,C0267759
DB01202,C0267756
DB01202,C0267762
DB01202,C0267761
DB01202,C0238316
DB01202,C0038565
DB13191,C0149778
DB13359,C0014752
DB13359,C1541885
DB13359,C1541884
DB00857,C0035468
DB00878,C0014741
DB09074,C0149754
DB09074,C0149507
DB00650,C0020607
DB00391,C0078911
DB00608,C0039131
DB00608,C0020186
DB00377,C0016398
DB16708,C0085435
DB16708,C0035012
DB11288,C0376618
DB11288,C0036981
DB00321,C0034359
DB00321,C0281986
DB00843,C0155843
DB00843,C0264292
DB00252,C0032310
DB00207,C0032302
DB00207,C4505422
DB00207,C4505423
DB00207,C3824874
DB00759,C0021400
DB01212,C0016735
DB01212,C0008683
DB00635,C0035460
DB00635,C2603357
DB05676,C0006274
DB00580,C2930474
DB00580,C0872315
DB13359,C0238419
DB13359,C0403760
DB01270,C0017105
DB01270,C2887103
DB01270,C2004060
DB01109,C0003175
DB00874,C0035439
DB00874,C0085916
DB08984,C0023346
DB08984,C1389289
DB00193,C0041310
DB09035,C0041317
DB14724,C1258220
DB14724,C1258221
DB14724,C1258219
DB14724,C1258218
DB13501,C0041473
DB13501,C0006181
DB00318,C1258224
DB09299,C0033700
DB00619,C0030528
DB00315,C0079487
DB08797,C0242707
DB09037,C0034072
DB01033,C0043202
DB01033,C0392470
DB01033,C1571879
DB00726,C0001396
DB12917,C1955864
DB06794,C0151636
DB01150,C2242703
DB01101,C0085280
DB01101,C2930797
DB00586,C0243002
DB00115,C0041207
DB00594,C0041408
DB00594,C1527168
DB00594,C0242526
DB00594,C1540712
DB09341,C0340293
DB09341,C0262564
DB09341,C0262565
DB09341,C0027051
DB08934,C0206064
DB08934,C3495826
DB09211,C0010051
DB00273,C0085128
DB00273,C0221045
DB11943,C0003505
DB16619,C0026266
DB16619,C1535081
DB13195,C0031039
DB13195,C0242426
DB13195,C0349077
DB11330,C0022739
DB11330,C5848351
DB06715,C0020545
DB06715,C0018036
DB00571,C0013537
DB00571,C4290246
DB00620,C1510412
DB09462,C0162871
DB09462,C0003486
DB00860,C1527226
DB00860,C0206138
DB09050,C0751849
DB09050,C0751846
DB09050,C0751847
DB09050,C0751848
DB09050,C0740392
DB01181,C0749095
DB01181,C0582730
DB01181,C0018946
DB14712,C0338575
DB14712,C0751824
DB00342,C0002986
DB00342,C1578778
DB15413,C0856761
DB15413,C0019154
DB15413,C1541046
