drugbank_id,disease_id
DB00331,C1565489
DB00331,C0035078
DB00331,C0232807
DB00328,C0856716
DB00328,C1319853
DB00328,C5704570
DB15888,C0236124
DB16613,C0242205
DB16613,C1623040
DB16613,C1623041
DB13728,C0001144
DB13728,C0702166
DB13728,C1571780
DB13728,C1535004
DB09231,C0036980
DB00052,C0032897
DB00052,C0265222
DB00052,C1542302
DB00052,C0037315
DB00052,C0338495
DB00052,C4551689
DB00052,C1534531
DB00052,C0520679
DB06777,C0521614
DB11976,C4316895
DB11976,C0002792
DB00873,C0022570
DB00873,C0019357
DB00569,C0014121
DB00569,C0553977
DB13772,C0868560
DB13772,C0451636
DB13772,C0549206
DB02638,C0235490
DB02638,C1537321
DB13694,C0004245
DB13694,C0018794
DB06695,C0023895
DB12545,C4039184
DB04743,C0242205
DB04743,C1623040
DB04743,C1623041
DB01214,C0004096
DB04817,C0151773
DB04817,C0280962
DB14600,C0003460
DB06701,C0233494
DB15889,C0021843
DB15889,C4553808
DB15889,C1579845
DB01425,C0543891
DB04817,C0005956
DB01079,C0155668
DB01079,C2882169
DB01079,C1275835
DB01079,C0027051
DB00623,C0018939
DB00623,C0947743
DB00623,C1533163
DB00315,C0085096
DB00315,C1306889
DB00887,C0003460
DB13728,C0263449
DB13728,C1275718
DB12184,C0151878
DB12184,C0855333
DB04841,C0015371
DB01395,C0023903
DB01395,C0345904
DB00771,C1739363
DB00771,C2937421
DB00771,C1704272
DB12874,C4511461
DB00557,C0155880
DB00557,C0004096
DB00557,C1387164
DB00557,C1260881
DB00557,C0494660
DB00557,C1388869
DB00557,C0155877
DB00557,C0264411
DB00557,C1319018
DB00367,C1277190
DB08167,C2939465
DB08167,C1534235
DB08167,C0237987
DB00367,C1135868
DB00367,C2931618
DB01100,C0009421
DB01100,C0860634
DB12235,C0019196
DB00813,C0267474
DB00813,C0030446
DB00630,C0020598
DB00630,C1535536
DB06655,C5967998
DB02512,C0035078
DB01098,C1619727
DB01098,C0023890
DB14598,C0003460
DB01750,C0016977
DB01750,C0741485
DB00957,C0023903
DB00957,C0345904
DB15575,C0008370
DB00822,C0349204
DB00822,C4237481
DB00822,C2874861
DB00822,C0033975
DB00822,C0036358
DB00822,C0036337
DB00822,C0033958
DB05467,C0242205
DB05467,C1623040
DB05467,C1623041
DB14587,C0275518
DB14587,C3714514
DB14591,C0743841
DB00960,C0036980
DB00796,C0011849
DB00796,C1802373
DB00796,C0011880
DB00929,C0868560
DB00929,C0451636
DB00929,C0549206
DB00327,C0004096
DB16585,C0220983
DB15489,C0037315
DB15489,C0338495
DB15489,C4551689
DB15489,C1534531
DB15489,C0520679
DB13735,C0004096
DB00286,C0398625
DB14634,C0162627
DB12472,C0868560
DB12472,C0451636
DB12472,C0549206
DB01221,C2937358
DB01221,C0553692
DB01221,C0007784
DB01221,C0019191
DB01221,C1546348
DB14678,C0038454
DB14678,C0751956
DB14678,C1540598
DB14678,C1540602
DB13114,C0003811
DB13114,C0264886
DB00956,C0699757
DB00956,C0001969
DB13064,C0868560
DB13064,C0451636
DB13064,C0549206
DB00829,C0037315
DB00829,C0338495
DB00829,C4551689
DB00829,C1534531
DB00829,C0520679
DB16599,C0270823
DB16599,C0751523
DB16599,C0038220
DB16599,C0751522
DB16599,C5887064
DB16599,C2004354
DB16599,C0311335
DB01750,C0019147
DB01750,C1542006
DB09093,C0041309
DB00009,C5392833
DB13569,C0151662
DB13569,C0020433
DB13569,C0595865
DB13569,C1534242
DB13569,C0151849
DB13569,C0852911
DB13569,C0008370
DB00875,C0151559
DB00875,C0549249
DB13944,C0678222
DB13944,C0006142
DB13384,C0004245
DB13384,C0018794
DB00294,C0034065
DB00294,C0524702
DB00294,C4290142
DB00294,C4290143
DB00294,C4290144
DB00294,C1542784
DB13612,C0010474
DB13612,C0013295
DB13612,C4290200
DB13612,C0267251
DB13612,C0030920
DB06782,C1565662
DB06782,C2609414
DB00946,C0023895
DB00946,C0086565
DB00946,C0741485
DB00584,C3266719
DB00328,C0040034
DB00328,C0392386
DB00328,C0242584
DB00873,C0042214
DB00873,C0857841
DB01393,C0876968
DB01393,C0016977
DB01393,C0741485
DB01113,C0151517
DB11609,C0699757
DB11609,C0001969
DB00153,C0024523
DB13673,C0028840
DB13673,C0017614
DB13673,C0234708
DB13673,C1536291
DB13673,C1536290
DB00652,C0555305
DB00652,C0018674
DB00652,C0518454
DB00652,C0751184
DB00652,C0751181
DB00652,C0451981
DB00652,C0451948
DB00652,C0751183
DB00652,C0347536
DB00652,C0751182
DB00652,C1542377
DB00652,C1546314
DB13694,C0426649
DB13694,C0687713
DB13670,C0868560
DB13670,C0451636
DB13670,C0549206
DB15903,C1861172
DB15903,C0340726
DB00884,C0020598
DB00884,C1535536
DB04938,C0459853
DB12474,C1285394
DB08907,C0011880
DB09261,C0917996
DB09261,C1971649
DB09261,C0007766
DB06285,C0151849
DB06285,C0852911
DB12471,C0868560
DB12471,C0451636
DB12471,C0549206
DB01067,C1839437
DB01067,C0740749
DB00199,C0868560
DB00199,C0451636
DB00199,C0549206
DB04165,C1963826
DB04165,C0949855
DB04165,C0751651
DB04165,C0949856
DB04165,C5828574
DB04165,C4021734
DB04165,C0949857
DB04165,C2931928
DB02512,C0016751
DB01501,C0022346
DB01501,C0242183
DB01148,C0013292
DB01407,C0040156
DB01407,C1546327
DB01407,C1578637
DB01407,C0020550
DB09094,C0241863
DB09094,C0011849
DB01120,C0342302
DB01120,C1542073
DB00603,C0007820
DB00603,C0241832
DB00603,C0596298
DB00603,C1540602
DB09212,C1565489
DB09212,C0035078
DB09212,C0232807
DB09389,C2239176
DB09389,C0023903
DB09389,C1540768
DB09389,C0345904
DB04165,C0162533
DB15907,C0332798
DB15907,C0565627
DB15907,C0043250
DB08971,C0162628
DB00054,C0006118
DB00054,C0496899
DB00054,C0153633
DB00054,C1527390
DB00054,C0220650
DB00054,C0750977
DB00054,C0750974
DB00054,C0750979
DB00343,C0004238
DB00343,C0235480
DB00343,C3468561
DB00343,C2585653
DB00343,C1542750
DB00497,C0021843
DB00497,C4553808
DB00497,C1579845
DB00371,C0162565
DB00371,C2936779
DB01200,C0868560
DB01200,C0451636
DB01200,C0549206
DB15093,C0010340
DB01501,C1257843
DB01501,C0238106
DB01501,C0014358
DB01501,C1611137
DB01501,C1619681
DB01501,C0085819
DB06285,C0020437
DB06285,C0026141
DB06285,C1809471
DB06285,C1535536
DB01588,C0242205
DB01588,C1623040
DB01588,C1623041
DB11994,C0042781
DB11994,C5441716
DB11994,C5575571
DB11994,C0021847
DB00091,C0033860
DB00091,C0030246
DB01182,C0428977
DB01148,C1258215
DB01148,C4019039
DB01148,C0021843
DB14766,C0027051
DB14766,C0010072
DB14766,C1534922
DB14766,C1534921
DB00946,C0917996
DB00946,C1971649
DB00946,C0007766
DB00998,C0010073
DB05084,C0868560
DB05084,C0451636
DB05084,C0549206
DB12328,C0011849
DB12328,C1802373
DB12328,C0011880
DB00331,C0036974
DB13710,C0948807
DB13710,C0086565
DB00580,C0030201
DB00580,C1619712
DB00921,C0236124
DB13114,C0018799
DB13114,C0947842
DB13114,C1971641
DB13114,C1971640
DB13612,C0151664
DB12545,C0024799
DB12545,C0030920
DB12545,C1384631
DB12545,C1971686
DB12545,C1579179
DB13689,C0343051
DB15968,C0242205
DB15968,C1623040
DB15968,C1623041
DB01394,C0948807
DB01394,C0086565
DB01394,C1565489
DB01394,C0035078
DB01394,C0232807
DB11994,C0868560
DB11994,C0451636
DB11994,C0549206
DB09293,C0868560
DB09293,C0451636
DB09293,C0549206
DB00242,C0242205
DB00242,C1623040
DB00242,C1623041
DB00692,C0542052
DB15777,C0019342
DB12768,C0434133
DB15990,C0034063
