drugbank_id,disease_id
DB00281,C0162309
DB11073,C1136043
DB11073,C0027832
DB11073,C1136042
DB11073,C1136041
DB11073,C0162678
DB01248,C0751156
DB01248,C0016667
DB01248,C0751157
DB08966,C0206245
DB08966,C0268384
DB12026,C0007761
DB00443,C0030442
DB00443,C0393540
DB00443,C4082299
DB00338,C0268281
DB00338,C0751383
DB00338,C0022797
DB00338,C0027877
DB00338,C0022340
DB00668,C0236642
DB00334,C0034345
DB00334,C0751595
DB00334,C0751596
DB00514,C0333463
DB00759,C0033132
DB00833,C0751785
DB00684,C0019202
DB00684,C1527352
DB00286,C0023374
DB00446,C0268425
DB11595,C0751912
DB00138,C0030442
DB00138,C4082299
DB00426,C0393571
DB01068,C2931689
DB01068,C0027126
DB00512,C0026847
DB00512,C0393547
DB00512,C0917981
DB00512,C3661519
DB00512,C0270765
DB00201,C0019202
DB01914,C0270627
DB14106,C0023521
DB14106,C0268252
DB14106,C0751273
DB09331,C0751870
DB00917,C0265219
DB00481,C0027126
DB00481,C2931689
DB00481,C0410226
DB00028,C0030567
DB13147,C0752121
DB13147,C0752120
DB13147,C0752125
DB13147,C0752123
DB13147,C0752122
DB13147,C0752124
DB13147,C0087012
DB13147,C0004138
DB06206,C0265219
DB09241,C0022336
DB14473,C0002395
DB16783,C0019202
DB09415,C0206245
DB09415,C0268384
DB09313,C1839259
DB13966,C0751665
DB13966,C0751664
DB13966,C0206307
DB13966,C0751666
DB13966,C0751667
DB13966,C0751663
DB01357,C0268281
DB01357,C0751383
DB01357,C0022797
DB01357,C0027877
DB01357,C0022340
DB00668,C0265219
DB00586,C0338451
DB00586,C0338462
DB16539,C0041341
DB09084,C0037773
DB09084,C4721916
DB09084,C0751604
DB09084,C0751602
DB00591,C0022972
DB05084,C0027873
DB04865,C0270749
DB04865,C0270755
DB04865,C0037952
DB04865,C0033132
DB04865,C0024814
DB04865,C0004138
DB01238,C0750901
DB13180,C0750901
DB13679,C0236642
DB13679,C0338451
DB00540,C0265219
DB14539,C0023522
DB14539,C2713319
DB14539,C0751278
DB14539,C0751276
DB14539,C0751279
DB00883,C0265219
DB11093,C0752121
DB00309,C0023374
DB09321,C0024408
DB09321,C0751670
DB09321,C0751671
DB09321,C0751669
DB09321,C0751668
DB00927,C1136043
DB00927,C0027832
DB00927,C1136042
DB00927,C1136041
DB00927,C0162678
DB00586,C0002395
DB00999,C0002395
DB14644,C0521659
DB02659,C0270911
DB13520,C0524851
DB15955,C0235946
DB14879,C0030567
DB00561,C0026896
DB00561,C0751339
DB00561,C0751340
DB00635,C0270749
DB00635,C0270755
DB00635,C0037952
DB00635,C0033132
DB00635,C0024814
DB00635,C0004138
DB00869,C0265219
DB01114,C0026847
DB01114,C0393547
DB01114,C0917981
DB01114,C3661519
DB01114,C0270765
DB00643,C0206245
DB00389,C2718304
DB00389,C0026705
DB00303,C0265219
DB00588,C0020179
DB00588,C0751208
DB00588,C0393574
DB00588,C0751207
DB00945,C0206245
DB11121,C0041341
DB14539,C0022972
DB01234,C0027127
DB01234,C2936781
DB01234,C0751360
DB01234,C0270959
DB01416,C0002395
DB00445,C0030567
DB01296,C2931689
DB01296,C0027126
DB11595,C2931689
DB01339,C0393538
DB01339,C0026847
DB00448,C0206245
DB00448,C0268384
DB09210,C0751870
DB00668,C0029125
DB00668,C0917796
DB00316,C0026847
DB09312,C0752125
DB08815,C0040517
DB00936,C0040517
DB01253,C0751340
DB00388,C0030567
DB13908,C0752122
DB11288,C0030442
DB11288,C0393540
DB11288,C4082299
DB01017,C0037019
DB00239,C0002395
DB00514,C0026847
DB00527,C0751383
DB00527,C0027877
DB00936,C0030567
DB01698,C0026896
DB09037,C0026847
