subject_drugbank_id,affected_drugbank_id
DB00005,DB01281
DB00065,DB01281
DB06674,DB01281
DB08904,DB01281
DB04956,DB01281
DB00005,DB00026
DB00065,DB00026
DB06674,DB00026
DB08904,DB00026
DB04956,DB00026
DB00005,DB08879
DB00005,DB06168
DB00051,DB06168
DB00065,DB06168
DB06674,DB06168
DB08904,DB06168
DB04956,DB06168
DB00005,DB08904
DB00051,DB08904
DB00065,DB08904
DB06674,DB08904
DB04956,DB08904
DB00005,DB00531
DB00005,DB00065
DB00005,DB00008
DB00005,DB00011
DB00005,DB00018
DB00005,DB00022
DB00005,DB00033
DB00005,DB00034
DB00005,DB00041
DB00005,DB00056
DB00005,DB00059
DB00005,DB00068
DB00005,DB00069
DB00005,DB00073
DB00005,DB00074
DB00005,DB00075
DB00005,DB00078
DB00005,DB00081
DB00005,DB00087
DB00005,DB00092
DB00005,DB00095
DB00005,DB00098
DB00005,DB00105
DB00005,DB00111
DB00005,DB00120
DB00005,DB00276
DB00005,DB00290
DB00005,DB00291
DB00005,DB00293
DB00005,DB00305
DB00005,DB00322
DB00005,DB00352
DB00005,DB00380
DB00005,DB00428
DB00005,DB00432
DB00005,DB00441
DB00005,DB00445
DB00005,DB00446
DB00005,DB00480
DB00005,DB00488
DB00005,DB00515
DB00005,DB00526
DB00005,DB00550
DB00005,DB00552
DB00005,DB00601
DB00005,DB00631
DB00005,DB00763
DB00005,DB00853
DB00005,DB00859
DB00005,DB00888
DB00005,DB00928
DB00005,DB00958
DB00005,DB00970
DB00005,DB01005
DB00005,DB01024
DB00005,DB01030
DB00005,DB01033
DB00005,DB01042
DB00005,DB01073
DB00005,DB01099
DB00005,DB01168
DB00005,DB01169
DB00005,DB01204
DB00005,DB01206
DB00005,DB01257
DB00005,DB01262
DB00005,DB01280
DB00005,DB01423
DB00005,DB01816
DB00005,DB02546
DB00005,DB02806
DB00005,DB03523
DB00005,DB04956
DB00005,DB05258
DB00005,DB05259
DB00005,DB05459
DB00005,DB05472
DB00005,DB06612
DB00005,DB06662
DB00005,DB06674
DB00005,DB06681
DB00005,DB06813
DB00005,DB08059
DB00005,DB08871
DB00005,DB08880
DB00005,DB08889
DB00005,DB08908
DB00005,DB08935
DB00005,DB09029
DB00005,DB09036
DB00005,DB09052
DB00005,DB09077
DB00005,DB09091
DB00005,DB09122
DB00005,DB09312
DB00005,DB11466
DB00005,DB11569
DB00005,DB11580
DB00005,DB11616
DB00005,DB11693
DB00005,DB11708
DB00005,DB11767
DB00005,DB11776
DB00005,DB11803
DB00005,DB11834
DB00005,DB11988
DB00005,DB12025
DB00005,DB12612
DB00005,DB12617
DB00005,DB12692
DB00005,DB12814
DB00005,DB12902
DB00005,DB12947
DB00005,DB12991
DB00005,DB12996
DB00005,DB13003
DB00005,DB13014
DB00005,DB13068
DB00005,DB13241
DB00005,DB13491
DB00005,DB13843
DB00005,DB13856
DB00005,DB14219
DB00005,DB14724
DB00005,DB14762
DB00005,DB14919
DB00005,DB15253
DB00008,DB00011
DB00008,DB00018
DB00008,DB00022
DB00008,DB00026
DB00008,DB00033
DB00008,DB00034
DB00008,DB00051
DB00008,DB00056
DB00008,DB00059
DB00008,DB00065
DB00008,DB00068
DB00008,DB00069
DB00008,DB00073
DB00008,DB00074
DB00008,DB00075
DB00008,DB00078
DB00008,DB00081
DB00008,DB00087
DB00008,DB00092
DB00008,DB00095
DB00008,DB00098
DB00008,DB00105
DB00008,DB00111
DB00008,DB00120
DB00008,DB00180
DB00008,DB00188
DB00008,DB00262
DB00008,DB00276
DB00008,DB00290
DB00008,DB00291
DB00008,DB00293
DB00008,DB00305
DB00008,DB00307
DB00008,DB00309
DB00008,DB00322
DB00008,DB00328
DB00008,DB00352
DB00008,DB00361
DB00008,DB00380
DB00008,DB00394
DB00008,DB00398
DB00008,DB00428
DB00008,DB00432
DB00008,DB00441
DB00008,DB00443
DB00008,DB00444
DB00008,DB00445
DB00008,DB00446
DB00008,DB00480
DB00008,DB00488
DB00008,DB00515
DB00008,DB00526
DB00008,DB00531
DB00008,DB00541
DB00008,DB00544
DB00008,DB00550
DB00008,DB00552
DB00008,DB00563
DB00008,DB00564
DB00008,DB00570
DB00008,DB00588
DB00008,DB00591
DB00008,DB00601
DB00008,DB00619
DB00008,DB00620
DB00008,DB00631
DB00008,DB00635
DB00008,DB00642
DB00008,DB00687
DB00008,DB00688
DB00008,DB00694
DB00008,DB00762
DB00008,DB00763
DB00008,DB00773
DB00008,DB00795
DB00008,DB00851
DB00008,DB00853
DB00008,DB00859
DB00008,DB00860
DB00008,DB00877
DB00008,DB00888
DB00008,DB00928
DB00008,DB00958
DB00008,DB00959
DB00008,DB00970
DB00008,DB00987
DB00008,DB00993
DB00008,DB00997
DB00008,DB01005
DB00008,DB01008
DB00008,DB01024
DB00008,DB01030
DB00008,DB01033
DB00008,DB01041
DB00008,DB01042
DB00008,DB01073
DB00008,DB01099
DB00008,DB01101
DB00008,DB01108
DB00008,DB01168
DB00008,DB01169
DB00008,DB01177
DB00008,DB01181
DB00008,DB01196
DB00008,DB01204
DB00008,DB01206
DB00008,DB01222
DB00008,DB01229
DB00008,DB01234
DB00008,DB01248
DB00008,DB01254
DB00008,DB01257
DB00008,DB01262
DB00008,DB01268
DB00008,DB01280
DB00008,DB01281
DB00008,DB01285
DB00008,DB01380
DB00008,DB01384
DB00008,DB01410
DB00008,DB01423
DB00008,DB01590
DB00008,DB01611
DB00008,DB01816
DB00008,DB02546
DB00008,DB02806
DB00008,DB03523
DB00008,DB04572
DB00008,DB04630
DB00008,DB04845
DB00008,DB04868
DB00008,DB04951
DB00008,DB04956
DB00008,DB05015
DB00008,DB05109
DB00008,DB05258
DB00008,DB05259
DB00008,DB05459
DB00008,DB05472
DB00008,DB05676
DB00008,DB05773
DB00008,DB06168
DB00008,DB06273
DB00008,DB06287
DB00008,DB06372
DB00008,DB06589
DB00008,DB06603
DB00008,DB06612
DB00008,DB06616
DB00008,DB06662
DB00008,DB06674
DB00008,DB06681
DB00008,DB06769
DB00008,DB06772
DB00008,DB06813
DB00008,DB08059
DB00008,DB08870
DB00008,DB08871
DB00008,DB08877
DB00008,DB08879
DB00008,DB08889
DB00008,DB08901
DB00008,DB08904
DB00008,DB08906
DB00008,DB08908
DB00008,DB08910
DB00008,DB08935
DB00008,DB08970
DB00008,DB09029
DB00008,DB09033
DB00008,DB09036
DB00008,DB09052
DB00008,DB09053
DB00008,DB09054
DB00008,DB09073
DB00008,DB09074
DB00008,DB09077
DB00008,DB09082
DB00008,DB09091
DB00008,DB09122
DB00008,DB09312
DB00008,DB09378
DB00008,DB09383
DB00008,DB11466
DB00008,DB11487
DB00008,DB11529
DB00008,DB11569
DB00008,DB11580
DB00008,DB11616
DB00008,DB11693
DB00008,DB11708
DB00008,DB11767
DB00008,DB11776
DB00008,DB11803
DB00008,DB11817
DB00008,DB11834
DB00008,DB11921
DB00008,DB11988
DB00008,DB12025
DB00008,DB12371
DB00008,DB12612
DB00008,DB12617
DB00008,DB12692
DB00008,DB12814
DB00008,DB12902
DB00008,DB12947
DB00008,DB12991
DB00008,DB12996
DB00008,DB13003
DB00008,DB13014
DB00008,DB13068
DB00008,DB13208
DB00008,DB13241
DB00008,DB13491
DB00008,DB13843
DB00008,DB13856
DB00008,DB13867
DB00008,DB14066
DB00008,DB14219
DB00008,DB14512
DB00008,DB14539
DB00008,DB14545
DB00008,DB14724
DB00008,DB14762
DB00008,DB14919
DB00008,DB15253
DB00011,DB00018
DB00011,DB00022
DB00011,DB00026
DB00011,DB00033
DB00011,DB00034
DB00011,DB00041
DB00011,DB00051
DB00011,DB00056
DB00011,DB00059
DB00011,DB00065
DB00011,DB00068
DB00011,DB00069
DB00011,DB00073
DB00011,DB00074
DB00011,DB00075
DB00011,DB00078
DB00011,DB00081
DB00011,DB00087
DB00011,DB00092
DB00011,DB00095
DB00011,DB00098
DB00011,DB00105
DB00011,DB00111
DB00011,DB00120
DB00011,DB00180
DB00011,DB00188
DB00011,DB00262
DB00011,DB00276
DB00011,DB00290
DB00011,DB00291
DB00011,DB00293
DB00011,DB00305
DB00011,DB00307
DB00011,DB00309
DB00011,DB00322
DB00011,DB00328
DB00011,DB00352
DB00011,DB00361
DB00011,DB00380
DB00011,DB00394
DB00011,DB00398
DB00011,DB00428
DB00011,DB00432
DB00011,DB00441
DB00011,DB00443
DB00011,DB00444
DB00011,DB00445
DB00011,DB00446
DB00011,DB00480
DB00011,DB00488
DB00011,DB00495
DB00011,DB00515
DB00011,DB00526
DB00011,DB00531
DB00011,DB00541
DB00011,DB00544
DB00011,DB00550
DB00011,DB00552
DB00011,DB00563
DB00011,DB00564
DB00011,DB00570
DB00011,DB00588
DB00011,DB00591
DB00011,DB00601
DB00011,DB00619
DB00011,DB00620
DB00011,DB00631
DB00011,DB00635
DB00011,DB00642
DB00011,DB00687
DB00011,DB00688
DB00011,DB00694
DB00011,DB00762
DB00011,DB00763
DB00011,DB00773
DB00011,DB00795
DB00011,DB00851
DB00011,DB00853
DB00011,DB00859
DB00011,DB00860
DB00011,DB00877
DB00011,DB00888
DB00011,DB00928
DB00011,DB00958
DB00011,DB00959
DB00011,DB00970
DB00011,DB00987
DB00011,DB00993
DB00011,DB00997
DB00011,DB01005
DB00011,DB01008
DB00011,DB01024
DB00011,DB01030
DB00011,DB01033
DB00011,DB01041
DB00011,DB01042
DB00011,DB01073
DB00011,DB01099
DB00011,DB01101
DB00011,DB01108
DB00011,DB01168
DB00011,DB01169
DB00011,DB01177
DB00011,DB01181
DB00011,DB01196
DB00011,DB01204
DB00011,DB01206
DB00011,DB01222
DB00011,DB01229
DB00011,DB01234
DB00011,DB01248
DB00011,DB01254
DB00011,DB01257
DB00011,DB01262
DB00011,DB01268
DB00011,DB01280
DB00011,DB01281
DB00011,DB01285
DB00011,DB01380
DB00011,DB01384
DB00011,DB01410
DB00011,DB01423
DB00011,DB01590
DB00011,DB01611
DB00011,DB01816
DB00011,DB02546
DB00011,DB02806
DB00011,DB03523
DB00011,DB04572
DB00011,DB04630
DB00011,DB04845
DB00011,DB04868
DB00011,DB04951
DB00011,DB04956
DB00011,DB05015
DB00011,DB05109
DB00011,DB05258
DB00011,DB05259
DB00011,DB05459
DB00011,DB05472
DB00011,DB05676
DB00011,DB05773
DB00011,DB06168
DB00011,DB06273
DB00011,DB06287
DB00011,DB06372
DB00011,DB06589
DB00011,DB06603
DB00011,DB06612
DB00011,DB06616
DB00011,DB06662
DB00011,DB06674
DB00011,DB06681
DB00011,DB06769
